Timestamp, Serial Number, Channel, Data, Unit of Measure
2023-May-11 07:15, 210993897, 1, 50.24, °C
2023-May-11 07:15, 210993897, 2, 50.39, °C
2023-May-11 07:20, 210993897, 1, 50.24, °C
2023-May-11 07:20, 210993897, 2, 50.39, °C
2023-May-11 07:25, 210993897, 1, 50.25, °C
2023-May-11 07:25, 210993897, 2, 50.4, °C
2023-May-11 07:30, 210993897, 1, 50.25, °C
2023-May-11 07:30, 210993897, 2, 50.4, °C
2023-May-11 07:35, 210993897, 1, 50.25, °C
2023-May-11 07:35, 210993897, 2, 50.4, °C
2023-May-11 07:40, 210993897, 1, 50.25, °C
2023-May-11 07:40, 210993897, 2, 50.4, °C
2023-May-11 07:45, 210993897, 1, 50.26, °C
2023-May-11 07:45, 210993897, 2, 50.41, °C
2023-May-11 07:50, 210993897, 1, 50.27, °C
2023-May-11 07:50, 210993897, 2, 50.42, °C
2023-May-11 07:55, 210993897, 1, 50.29, °C
2023-May-11 07:55, 210993897, 2, 50.44, °C
2023-May-11 08:00, 210993897, 1, 50.32, °C
2023-May-11 08:00, 210993897, 2, 50.47, °C
2023-May-11 08:05, 210993897, 1, 50.33, °C
2023-May-11 08:05, 210993897, 2, 50.48, °C
2023-May-11 08:10, 210993897, 1, 50.32, °C
2023-May-11 08:10, 210993897, 2, 50.48, °C
2023-May-11 08:15, 210993897, 1, 50.36, °C
2023-May-11 08:15, 210993897, 2, 50.51, °C
2023-May-11 08:20, 210993897, 1, 50.39, °C
2023-May-11 08:20, 210993897, 2, 50.55, °C
2023-May-11 08:25, 210993897, 1, 50.41, °C
2023-May-11 08:25, 210993897, 2, 50.57, °C
2023-May-11 08:30, 210993897, 1, 50.42, °C
2023-May-11 08:30, 210993897, 2, 50.57, °C
2023-May-11 08:35, 210993897, 1, 50.43, °C
2023-May-11 08:35, 210993897, 2, 50.58, °C
2023-May-11 08:40, 210993897, 1, 50.43, °C
2023-May-11 08:40, 210993897, 2, 50.58, °C
2023-May-11 08:45, 210993897, 1, 50.43, °C
2023-May-11 08:45, 210993897, 2, 50.58, °C
2023-May-11 08:51, 210993897, 1, 50.42, °C
2023-May-11 08:51, 210993897, 2, 50.57, °C
2023-May-11 08:56, 210993897, 1, 50.42, °C
2023-May-11 08:56, 210993897, 2, 50.57, °C
2023-May-11 09:01, 210993897, 1, 50.41, °C
2023-May-11 09:01, 210993897, 2, 50.56, °C
2023-May-11 09:06, 210993897, 1, 50.4, °C
2023-May-11 09:06, 210993897, 2, 50.55, °C
2023-May-11 09:11, 210993897, 1, 50.4, °C
2023-May-11 09:11, 210993897, 2, 50.55, °C
2023-May-11 09:16, 210993897, 1, 50.43, °C
2023-May-11 09:16, 210993897, 2, 50.59, °C
2023-May-11 09:21, 210993897, 1, 50.45, °C
2023-May-11 09:21, 210993897, 2, 50.6, °C
2023-May-11 09:26, 210993897, 1, 50.45, °C
2023-May-11 09:26, 210993897, 2, 50.6, °C
2023-May-11 09:31, 210993897, 1, 50.44, °C
2023-May-11 09:31, 210993897, 2, 50.59, °C
2023-May-11 09:36, 210993897, 1, 50.42, °C
2023-May-11 09:36, 210993897, 2, 50.58, °C
2023-May-11 09:41, 210993897, 1, 50.42, °C
2023-May-11 09:41, 210993897, 2, 50.57, °C
2023-May-11 09:46, 210993897, 1, 50.42, °C
2023-May-11 09:46, 210993897, 2, 50.57, °C
2023-May-11 09:51, 210993897, 1, 50.41, °C
2023-May-11 09:51, 210993897, 2, 50.56, °C
2023-May-11 09:56, 210993897, 1, 50.42, °C
2023-May-11 09:56, 210993897, 2, 50.57, °C
2023-May-11 10:01, 210993897, 1, 50.46, °C
2023-May-11 10:01, 210993897, 2, 50.61, °C
2023-May-11 10:06, 210993897, 1, 50.49, °C
2023-May-11 10:06, 210993897, 2, 50.66, °C
2023-May-11 10:11, 210993897, 1, 50.5, °C
2023-May-11 10:11, 210993897, 2, 50.67, °C
2023-May-11 10:16, 210993897, 1, 50.51, °C
2023-May-11 10:16, 210993897, 2, 50.67, °C
2023-May-11 10:21, 210993897, 1, 50.51, °C
2023-May-11 10:21, 210993897, 2, 50.67, °C
2023-May-11 10:26, 210993897, 1, 50.51, °C
2023-May-11 10:26, 210993897, 2, 50.67, °C
2023-May-11 10:31, 210993897, 1, 50.51, °C
2023-May-11 10:31, 210993897, 2, 50.68, °C
2023-May-11 10:36, 210993897, 1, 50.53, °C
2023-May-11 10:36, 210993897, 2, 50.69, °C
2023-May-11 10:42, 210993897, 1, 50.56, °C
2023-May-11 10:42, 210993897, 2, 50.72, °C

