Time,B,C,Ab L,Ab R,AUR,ALR,ALL,AUL
1970-02-01 13:03:37,,,,,,,,
1970-02-01 13:03:39,,,-5.385,,,,,
1970-02-01 13:03:40,,,,,,,,
1970-02-01 13:03:42,,,,,,,,
1970-02-01 13:03:44,,,,,,,,
1970-02-01 13:03:45,,,,,,,,
1970-02-01 13:03:46,,,,,,,,
1970-02-01 13:03:47,,,,,,,,
1970-02-01 13:03:50,,,,,,,,
1970-02-01 13:03:51,,,,,,,,
1970-02-01 13:03:53,,,,,,,,
1970-02-01 13:03:54,,,,,,,,
1970-02-01 13:03:55,,,,,,,,
1970-02-01 13:03:56,,,,,,,,
1970-02-01 13:03:57,,,,,,,,
1970-02-01 13:03:58,,,,,,,,
1970-02-01 13:04:01,,,,,,,,
1970-02-01 13:04:02,,,,,,,,
1970-02-01 13:04:04,,,,,,,,
1970-02-01 13:04:05,,,,,,,,
1970-02-01 13:04:06,,,,,,,,
1970-02-01 13:04:07,,,,,,,,
1970-02-01 13:04:08,,,,,,,,
1970-02-01 13:04:09,,,,,,,,
1970-02-01 13:04:10,,,,,,,,
1970-02-01 13:04:12,,,,,,,,
1970-02-01 13:04:13,,,,,,,,
1970-02-01 13:04:14,,,-5.65,,,,,
1970-02-01 13:04:15,,,,,,,,
1970-02-01 13:04:17,,,,,,,,
1970-02-01 13:04:18,,,,,,,,
1970-02-01 13:04:20,,,,,,,,
1970-02-01 13:04:21,,,,,,,,
1970-02-01 13:04:22,,,,,,,,
1970-02-01 13:04:25,,,,,,,,
1970-02-01 13:04:26,,,,,,,,
1970-02-01 13:04:27,,,,,,,,
1970-02-01 13:04:29,,,,,,,,
